variant_index,variant_slug,backtest_experiment,backtest_recorder_id,ranking_metric,ranking_value,strategy_params.topk,strategy_params.n_drop,strategy_params.strategy,strategy_params.deal_price,strategy_params.rebalance,strategy_params.limit_tplus,strategy_params.risk_degree,strategy_params.settlement_lag,summary_metrics.Strategy cumulative return,summary_metrics.Benchmark cumulative return,summary_metrics.Trading days,summary_metrics.risk.excess_return_without_cost.mean,summary_metrics.risk.excess_return_without_cost.std,summary_metrics.risk.excess_return_without_cost.annualized_return,summary_metrics.risk.excess_return_without_cost.information_ratio,summary_metrics.risk.excess_return_without_cost.max_drawdown,summary_metrics.risk.excess_return_with_cost.mean,summary_metrics.risk.excess_return_with_cost.std,summary_metrics.risk.excess_return_with_cost.annualized_return,summary_metrics.risk.excess_return_with_cost.information_ratio,summary_metrics.risk.excess_return_with_cost.max_drawdown,summary_metrics.indicator_summary.ffr,summary_metrics.indicator_summary.pa,summary_metrics.indicator_summary.pos,summary_metrics.indicator_daily_mean.ffr,summary_metrics.indicator_daily_mean.pa,summary_metrics.indicator_daily_mean.pos,summary_metrics.indicator_daily_mean.deal_amount,summary_metrics.indicator_daily_mean.value,summary_metrics.indicator_daily_mean.count
31,bucket_topk10_ndrop2_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,a89ab585ddbc4325a56f21f2ceec2d85,risk.excess_return_with_cost.annualized_return,-0.9129529214262629,10,2,bucket,open,day,True,0.9,2,-0.14673951179756095,0.5931557416915894,188,-0.0032752393933709735,0.013410739890754989,-0.7795069756222917,-3.767721454962988,-0.6582798560600653,-0.0038359366446481637,0.013378885232151388,-0.9129529214262629,-4.423234618039766,-0.7481894906920132,0.882262996941896,0.0,0.0,0.8342245989304813,0.0,0.0,5294.333333333333,217644.61432634084,3.4603174603174605
40,equal_topk10_ndrop3_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,43b0e3daf6094c8a90fda65bd4d981a6,risk.excess_return_with_cost.annualized_return,-0.9157505031677803,10,3,equal,open,day,True,0.9,2,-0.13266968586696426,0.5931557416915894,188,-0.003202785935356936,0.01365737401678939,-0.7622630526149508,-3.6178386007722825,-0.6376183288902539,-0.0038476911897805896,0.01360138025395831,-0.9157505031677803,-4.364210652998796,-0.7359651589230913,0.8038477271369994,0.0,0.0,0.799727905543189,0.0,0.0,6043.783068783069,244302.1246028078,5.079365079365079
68,bucket_topk15_ndrop5_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,325a6dab05da4af79346870efc752727,risk.excess_return_with_cost.annualized_return,-0.9262875827463753,15,5,bucket,open,day,True,0.95,2,-0.12100358071058159,0.5931557416915894,188,-0.003145726424620968,0.012242361778690578,-0.7486828890597904,-3.964096513575299,-0.6401038711555587,-0.003891964633388132,0.012231263306995518,-0.9262875827463753,-4.908921058652458,-0.74372129719786,0.8275862068965517,0.0,0.0,0.8020547419483589,0.0,0.0,6816.2328042328045,285019.7940808379,8.132275132275133
69,bucket_topk15_ndrop5_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,8868521cfeee48adbc70feaae1cf5ff7,risk.excess_return_with_cost.annualized_return,-0.9347658418363529,15,5,bucket,open,day,True,0.98,2,-0.12638942789275365,0.5931557416915894,188,-0.0031772658597309165,0.012264274097896273,-0.7561892746159581,-3.996687448467526,-0.6426171710080203,-0.0039275875707409785,0.012254787226927069,-0.9347658418363529,-4.944342876850043,-0.7469052193579712,0.8275862068965517,0.0,0.0,0.8020211614626508,0.0,0.0,6801.9682539682535,285170.74190518836,8.132275132275133
41,equal_topk10_ndrop3_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,7d236afe765f42c29a0a4a409600d595,risk.excess_return_with_cost.annualized_return,-0.977972466152401,10,3,equal,open,day,True,0.95,2,-0.17203348937823393,0.5931557416915894,188,-0.0034503930004948667,0.013653575157019758,-0.8211935341177783,-3.8986177645818407,-0.668963744687592,-0.004109128009043702,0.01360904888624803,-0.977972466152401,-4.658116811763842,-0.7745885586742138,0.8011438168053614,0.0,0.0,0.7959834969549048,0.0,0.0,5858.994708994709,244530.00105655464,5.116402116402116
21,bucket_topk8_ndrop5_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,00d0f3e81e6f4c628d50b44be34f870f,risk.excess_return_with_cost.annualized_return,-0.9803335262592687,8,5,bucket,open,day,True,0.98,2,-0.12267737421728075,0.5931557416915894,188,-0.003150394487525946,0.014345363244610655,-0.7497938880311752,-3.38798803370178,-0.673863050598467,-0.004119048429660793,0.014273938642113444,-0.9803335262592687,-4.451860540926313,-0.8305884499452468,0.7698229407236336,0.0,0.0,0.7375006752012099,0.0,0.0,9158.83597883598,377338.6402034891,6.873015873015873
11,equal_topk8_ndrop2_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,4844861c1c7845d781f50e1924dbe88c,risk.excess_return_with_cost.annualized_return,-0.982456327207941,8,2,equal,open,day,True,0.95,2,-0.1872690517540696,0.5931557416915894,188,-0.003509815559633987,0.01587770806214494,-0.8353361031928889,-3.4102401328195096,-0.7036383990870905,-0.004127967761377903,0.015832013820550953,-0.982456327207941,-4.022431111681591,-0.8164150074777952,0.8040502535465414,0.0,0.0,0.7975925210009915,0.0,0.0,5911.269841269841,221166.4607359779,3.5343915343915344
20,bucket_topk8_ndrop5_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,b9e2bdae189146fb8edd05c76e51a4e1,risk.excess_return_with_cost.annualized_return,-0.9857278007656491,8,5,bucket,open,day,True,0.95,2,-0.1273767464364176,0.5931557416915894,188,-0.0031814169055931537,0.014189479955098486,-0.7571772235311706,-3.4589364602149555,-0.6750168514690787,-0.0041417134485951645,0.014116888978478624,-0.9857278007656491,-4.526156094584798,-0.8305361386878353,0.7698229407236336,0.0,0.0,0.7375006752012099,0.0,0.0,9079.174603174602,372824.86831196275,6.873015873015873
19,bucket_topk8_ndrop5_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,e493914f378746429c669138dd55f121,risk.excess_return_with_cost.annualized_return,-0.9949683982555408,8,5,bucket,open,day,True,0.9,2,-0.13539133302326722,0.5931557416915894,188,-0.0032346433966090747,0.01395344898684353,-0.7698451283929598,-3.576294859094155,-0.678192068757171,-0.004180539488468659,0.013880674402739775,-0.9949683982555408,-4.646332028641745,-0.8316106364870561,0.7698229407236336,0.0,0.0,0.7375006752012099,0.0,0.0,8936.772486772486,365247.4199647467,6.873015873015873
42,equal_topk10_ndrop3_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,a5e13699b244479dbe52c429987b1569,risk.excess_return_with_cost.annualized_return,-1.0121216051869453,10,3,equal,open,day,True,0.98,2,-0.1949246630752981,0.5931557416915894,188,-0.00357578168778093,0.015012103037014423,-0.8510360416918613,-3.67466656564775,-0.6895049646982927,-0.00425261178649977,0.014973817903827263,-1.0121216051869453,-4.381387548476092,-0.8018709431734489,0.7850511406856931,0.0,0.0,0.7811445269882248,0.0,0.0,6337.179894179894,249238.49244765769,5.174603174603175
